,Country,GDP_2020,GDP_2021,GDP_2022,GDP_2023,GDP_2024,GDP_2025
97,Lesotho,2092.0,2445.0,2275.0,2213.0,2309.0,2404.0
98,Liberia,3037.0,3509.0,3974.0,4390.0,4818.0,5166.0
99,Libya,46893.0,35216.0,43281.0,43958.0,42159.0,47484.0
100,Lithuania,57352.0,67068.0,71082.0,79824.0,84847.0,89192.0
101,Luxembourg,73612.0,86444.0,80865.0,87599.0,93169.0,96613.0
102,Macau,25344.0,30969.0,24998.0,45802.0,50182.0,53354.0
103,Madagascar,13051.0,14355.0,15326.0,15870.0,17420.0,18708.0
104,Malawi,11847.0,12475.0,12531.0,13439.0,11797.0,13959.0
105,Malaysia,337456.0,373785.0,407605.0,399705.0,419617.0,444984.0
106,Maldives,3706.0,5242.0,6168.0,6581.0,7019.0,7480.0
107,Mali,17491.0,19320.0,19319.0,21184.0,22724.0,23208.0
108,Malta,16397.0,19737.0,19254.0,22217.0,24315.0,25750.0
109,Marshall Islands,242.0,259.0,253.0,259.0,280.0,297.0
110,Mauritania,8464.0,9126.0,9564.0,10649.0,10697.0,11470.0
111,Mauritius,11408.0,11484.0,12908.0,14101.0,14953.0,15495.0
112,Mexico,1121065.0,1316569.0,1466465.0,1793799.0,1852723.0,1692640.0
113,Federated States of Micronesia,373.0,392.0,416.0,444.0,471.0,500.0
114,Moldova,11530.0,13694.0,14493.0,16751.0,18126.0,19462.0
115,Mongolia,13313.0,15286.0,17146.0,20315.0,23586.0,25804.0
116,Montenegro,4777.0,5865.0,6243.0,7532.0,8023.0,8562.0
117,Morocco,121354.0,142022.0,130952.0,144438.0,155350.0,165835.0
118,Mozambique,14235.0,16168.0,18884.0,20954.0,21944.0,23771.0
119,Myanmar,65631.0,58264.0,61723.0,61466.0,61176.0,64944.0
120,Namibia,10583.0,12399.0,12564.0,12402.0,13370.0,14214.0
121,Nauru,125.0,176.0,152.0,152.0,161.0,169.0
122,Nepal,33434.0,36927.0,41183.0,40907.0,43419.0,46080.0
123,Netherlands,931814.0,1055173.0,1047364.0,1154694.0,1227174.0,1272011.0
124,New Zealand,210541.0,249775.0,245203.0,253436.0,257728.0,248666.0
125,Nicaragua,12730.0,14208.0,15634.0,17820.0,19710.0,21155.0
126,Niger,13764.0,14923.0,15458.0,16809.0,19866.0,21874.0
127,Nigeria,432299.0,441074.0,476468.0,363816.0,187640.0,188271.0
128,North Macedonia,12385.0,14008.0,13957.0,15772.0,16679.0,17885.0
129,Norway,367633.0,503368.0,596298.0,482950.0,483727.0,504276.0
130,Oman,75909.0,87324.0,109853.0,105896.0,106943.0,104351.0
132,Palau,259.0,236.0,248.0,275.0,306.0,333.0
133,Panama,57087.0,67407.0,76523.0,83382.0,87688.0,91675.0
134,Papua New Guinea,23848.0,26113.0,31653.0,30729.0,31654.0,32835.0
135,Paraguay,35432.0,39951.0,41953.0,43118.0,43989.0,45465.0
136,Peru,206461.0,226268.0,244419.0,267482.0,289070.0,303293.0
137,Philippines,361751.0,394087.0,404353.0,437055.0,461617.0,497495.0
138,Poland,605930.0,689253.0,695734.0,809706.0,908583.0,979960.0
139,Portugal,229435.0,256226.0,257101.0,289781.0,308590.0,321440.0
140,Puerto Rico,103131.0,106427.0,113567.0,117902.0,120978.0,122522.0
141,Qatar,144411.0,179732.0,235709.0,213003.0,221452.0,222776.0
142,Romania,252372.0,286783.0,296928.0,350847.0,384148.0,403395.0
143,Russia,1488118.0,1828927.0,2295527.0,2059762.0,2161205.0,2076396.0
144,Rwanda,10174.0,11066.0,13313.0,14331.0,14251.0,14771.0
145,Samoa,869.0,844.0,833.0,938.0,1068.0,1160.0
146,San Marino,1543.0,1857.0,1833.0,2003.0,2063.0,2047.0
147,São Tomé and Príncipe,476.0,529.0,546.0,684.0,796.0,864.0
148,Saudi Arabia,734271.0,874157.0,1108571.0,1067583.0,1085358.0,1083749.0
149,Senegal,24534.0,27584.0,27750.0,30625.0,32892.0,34728.0
150,Serbia,55874.0,65830.0,66798.0,81343.0,89074.0,92549.0
151,Seychelles,1384.0,1490.0,2018.0,2187.0,2168.0,2198.0
152,Sierra Leone,6682.0,7165.0,7119.0,6397.0,7653.0,8386.0
153,Singapore,349166.0,436591.0,509018.0,505440.0,547387.0,564774.0
154,Slovakia,107646.0,120672.0,116020.0,132947.0,140636.0,147031.0
155,Slovenia,53342.0,61570.0,59975.0,69168.0,72463.0,75224.0
156,Solomon Islands,1536.0,1523.0,1566.0,1661.0,1777.0,1898.0
157,Somalia,8628.0,9484.0,10203.0,10969.0,12134.0,12994.0
158,South Africa,337876.0,420778.0,406755.0,380592.0,400191.0,410338.0
159,South Sudan,5423.0,5940.0,8037.0,7186.0,5423.0,3998.0
160,Spain,1288751.0,1462216.0,1447636.0,1620558.0,1722227.0,1799511.0
162,Saint Kitts and Nevis,884.0,859.0,981.0,1056.0,1117.0,1129.0
163,Saint Lucia,1499.0,1867.0,2343.0,2430.0,2523.0,2632.0
164,Saint Vincent and the Grenadines,864.0,888.0,970.0,1071.0,1162.0,1242.0
165,Sudan,35237.0,35142.0,33517.0,36998.0,28270.0,31506.0
166,Suriname,2912.0,3084.0,3631.0,3445.0,4458.0,4506.0
167,Sweden,545148.0,637187.0,579896.0,585490.0,610118.0,620297.0
168,Switzerland,741288.0,814699.0,828522.0,894867.0,936738.0,947125.0
170,Taiwan,676861.0,776965.0,765624.0,757335.0,782441.0,804889.0
171,Tajikistan,8134.0,8934.0,10493.0,11854.0,13544.0,14836.0
172,Tanzania,63373.0,67964.0,74173.0,79138.0,80171.0,85977.0
173,Thailand,500462.0,506195.0,495645.0,515906.0,526411.0,546224.0
174,Timor-Leste,2163.0,3625.0,3209.0,2080.0,2015.0,2115.0
175,Togo,7400.0,8338.0,8144.0,9081.0,9776.0,10023.0
176,Tonga,503.0,520.0,515.0,512.0,539.0,568.0
177,Trinidad and Tobago,20991.0,24177.0,28510.0,25489.0,25524.0,26467.0
178,Tunisia,42494.0,46813.0,44596.0,48541.0,53063.0,56291.0
179,Turkey,717114.0,807893.0,905800.0,1130062.0,1322405.0,1437406.0
180,Turkmenistan,52385.0,60934.0,77963.0,77876.0,82515.0,89054.0
181,Tuvalu,52.0,62.0,61.0,63.0,65.0,65.0
182,Uganda,37889.0,42805.0,47276.0,51934.0,56453.0,64277.0
183,Ukraine,156566.0,199835.0,161987.0,178763.0,190426.0,205742.0
184,United Arab Emirates,349473.0,415179.0,502732.0,514130.0,537079.0,548598.0
185,United Kingdom,2698705.0,3144079.0,3125404.0,3371118.0,3644636.0,3839180.0
186,United States,21354125.0,23681175.0,26006900.0,27720725.0,29184900.0,30507217.0
187,Uruguay,53557.0,60742.0,70600.0,77997.0,80961.0,79731.0
188,Uzbekistan,66443.0,77340.0,90125.0,102634.0,114962.0,132484.0
189,Vanuatu,1008.0,921.0,1072.0,1158.0,1206.0,1267.0
190,Venezuela,42838.0,56615.0,89013.0,102377.0,119808.0,108511.0
191,Vietnam,346310.0,370076.0,411068.0,433008.0,459472.0,490970.0
193,Yemen,20220.0,19394.0,23534.0,19412.0,19101.0,17401.0
194,Zambia,18138.0,22096.0,29164.0,27578.0,26326.0,28910.0
195,Zimbabwe,26878.0,36016.0,32613.0,35144.0,35224.0,38172.0
